CKAN metadata,,,,,Organisation,Group,Created date,Custom Field (Year),Tags,Dataset,Dataset,Dataset,Dataset
,logi_id,Title,File name,Catalog number,Program areas,1st level of doc hiererachy,Insert time,Publication year,,Dataset,Type,Metadata,Notes
,1,Test MS Word document,1.docx,51,Sexual and Reproductive Health,nrrp,17/11/2015,2022,Report,Test report,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,2,Test PDF document,2.pdf,51,Sexual and Reproductive Health,nrrp,17/11/2015,2022,Report,Test report,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,3,Test XLSX document,3.xlsx,51,Mental Health and Psychosocial Support,Refugee-response,17/11/2015,2023,Data,Test data,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,4,Test CSV document,4.csv,51,Mental Health and Psychosocial Support,Refugee-response,17/11/2015,2023,Data,Test data,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,5,Test ZIP file,5.zip,51,HIV & TB,Refugee-response,17/11/2015,2021,Data,Test ZIP dataset,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,6,Family Doctor 1 w1,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor1,resource_week:2023-09-01","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,7,Family Doctor 2 w1,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor2,resource_week:2023-09-01","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,8,Family Doctor 3 w1,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor3,resource_week:2023-09-01","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,9,Family Doctor 4 w1,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor4,resource_week:2023-09-01","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,10,Family Doctor 5 w1,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor5,resource_week:2023-09-01","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,11,Family Doctor 6 w1,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor6,resource_week:2023-09-01","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,12,Family Doctor 7 w1,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor7,resource_week:2023-09-01","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,13,Family Doctor 1 w2,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor1,resource_week:2023-09-08","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,14,Family Doctor 2 w2,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor2,resource_week:2023-09-08","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,15,Family Doctor 3 w2,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor3,resource_week:2023-09-08","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,16,Family Doctor 4 w2,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor4,resource_week:2023-09-08","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,17,Family Doctor 5 w2,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor5,resource_week:2023-09-08","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,18,Family Doctor 6 w2,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor6,resource_week:2023-09-08","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,19,Family Doctor 7 w2,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor7,resource_week:2023-09-08","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,20,Family Doctor 1 w3,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor1,resource_week:2023-09-15","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,21,Family Doctor 2 w3,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor2,resource_week:2023-09-15","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,22,Family Doctor 3 w3,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor3,resource_week:2023-09-15","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,23,Family Doctor 4 w3,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor4,resource_week:2023-09-15","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,24,Family Doctor 5 w3,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor5,resource_week:2023-09-15","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,25,Family Doctor 6 w3,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor6,resource_week:2023-09-15","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,26,Family Doctor 7 w3,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor7,resource_week:2023-09-15","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,27,Family Doctor 1 w4,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor1,resource_week:2023-09-22","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,28,Family Doctor 2 w4,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor2,resource_week:2023-09-22","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,29,Family Doctor 3 w4,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor3,resource_week:2023-09-22","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,30,Family Doctor 4 w4,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor4,resource_week:2023-09-22","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,31,Family Doctor 5 w4,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor5,resource_week:2023-09-22","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,32,Family Doctor 6 w4,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor6,resource_week:2023-09-22","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
,33,Family Doctor 7 w4,6.xlsx,51,Family Medicine,family-medicine,17/11/2015,2023,Data,Family Medicine dataset,Family-medicine,"month:September,maintainer:admin,resource_family_doctor:doctor7,resource_week:2023-09-22","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat sollicitudin fringilla. Sed ut sodales dui. Sed maximus nec metus vitae tincidunt. Phasellus finibus urna velit. Donec mi urna, pulvinar sit amet ante a, pharetra elementum elit. Nam euismod semper viverra. Morbi a ipsum lorem. Fusce sodales neque nec egestas gravida. Sed dictum risus non turpis mattis, dictum condimentum massa blandit. Quisque in tincidunt velit."
